,EW5,EW6,EW8,EW9,EW10,EW14A,EW15A,EW15B,EW16A,EW16B,EW16C,EW18A,EW18B,HB1,HB2,HB3,HB4,HB5,HB6,HB7,HB8,AI1,GR9F,GR13A,GR16A,GR18A,GR18B,GR22,GR27A,MH1A,MH1E,MH2,MH4A,FP2A,URBAN2011,METRO,ID11,ID13,COPC,INCOMEPC,NPERSONS,ED2,ED4
0,2,4,1,4,5,0,1,1,0,0,0,16,3,0,1,1,3,2,4,4,2,1,1,0,0,0,0,0,1,0,2,1,3,1,0,0,2,3,2.0,2.0,9,0,0
1,4,2,1,3,5,0,1,1,0,1,0,1,1,1,0,1,3,2,4,3,2,1,1,0,0,0,0,1,1,1,1,1,3,1,0,0,2,3,2.0,2.0,9,1,1
2,4,3,2,3,3,0,1,1,0,0,0,2,1,0,,1,2,2,4,3,3,1,1,0,0,0,0,1,1,2,1,1,2,1,0,0,2,,3.0,3.0,16,1,1
3,2,4,1,5,3,0,1,1,0,0,0,1,1,0,,1,2,2,4,4,5,0,1,0,0,0,0,0,1,2,1,1,2,1,0,0,2,3,2.0,2.0,7,0,0
4,2,4,1,3,3,0,1,1,0,0,0,1,1,0,,1,2,3,4,4,5,0,1,0,0,0,0,0,0,2,1,1,3,1,0,0,2,2,2.0,2.0,5,0,0
5,2,3,1,3,3,0,1,1,0,0,0,1,1,0,,1,2,3,4,4,5,0,1,0,0,0,0,0,1,1,1,1,2,1,0,0,2,2,2.0,2.0,10,0,0
6,4,2,1,1,2,0,1,1,0,0,0,1,1,0,0,2,2,3,4,4,5,0,1,0,0,0,0,1,1,1,1,1,3,1,0,0,2,2,2.0,2.0,10,0,0
7,4,2,1,2,4,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,2,1,0,0,0,0,0,0,1,2,1,1,3,1,0,0,2,3,2.0,2.0,11,0,0
8,2,4,1,6,5,0,1,1,0,0,0,1,1,0,,1,2,2,4,4,,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,2,3,2.0,2.0,8,0,0
9,2,3,1,6,5,0,1,1,0,0,0,1,1,1,0,1,2,2,2,3,3,0,1,0,0,0,0,0,0,0,1,1,3,1,0,0,2,2,1.0,1.0,8,0,0
10,1,4,1,8,5,0,1,1,0,0,0,1,1,1,,1,2,3,2,4,3,1,1,0,0,0,0,,1,0,1,2,3,,0,0,2,3,3.0,2.0,8,0,0
11,2,2,1,2,2,0,1,1,0,0,0,1,1,0,1,1,2,1,4,4,5,0,1,0,0,0,0,1,1,0,1,1,3,0,0,0,2,3,2.0,1.0,4,0,0
12,10,4,1,3,4,0,1,1,0,0,0,1,1,0,,1,2,2,4,1,3,0,1,0,0,0,0,0,1,1,1,2,3,,0,0,2,3,3.0,2.0,13,0,0
13,2,2,1,3,4,0,1,1,0,0,0,3,1,0,,1,3,3,1,2,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,2,3,2.0,2.0,5,0,0
14,2,3,3,2,3,0,1,1,0,1,0,3,2,0,,1,2,2,4,3,3,1,1,0,0,0,0,1,1,2,1,1,2,1,0,0,2,2,3.0,2.0,4,1,1
15,2,4,1,5,4,0,1,1,0,1,0,1,1,0,,1,2,3,2,3,1,0,1,0,0,0,0,1,1,0,1,1,3,1,0,0,2,2,2.0,3.0,7,0,0
16,2,3,1,5,4,0,1,1,0,0,0,3,2,0,,1,2,2,4,4,3,0,1,0,0,0,0,0,1,0,1,1,2,1,0,0,2,2,2.0,1.0,7,0,0
